id,modele_machine,annee_fabrication,fiabilite_modele,age_machine_ans,phase_vie,indice_usure,heures_par_jour,temps_total_fonctionnement_h,mode_fonctionnement,cadence_moyenne_unit_h,taux_utilisation_pct,charge_machine,type_maintenance,frequence_maintenance,nombre_maintenances,date_derniere_maintenance,jours_depuis_maintenance,intervalle_entre_maintenances_j,nombre_total_pannes,frequence_pannes_par_an,duree_moyenne_panne_h,nombre_interventions_techniques,nombre_pannes_repetees,type_panne_recurrente,intervalle_entre_pannes_j,cause_identifiee,panne
12,WELDR-E4,2020,Elevée,3,Nouvelle,10.59,8.2,8714,Intermittent,,82.9,Surcharge,Préventive,Trimestrielle,5.0,2023-04-14,,66.0,5,1.67,8.86,8,1,Électrique,169,Oui,0
13,CNC-2000,2010,Moyenne,13,Normale,43.26,11.6,55007,Continu,71.7,66.0,Normale,Préventive,Hebdomadaire,16.0,2023-09-16,107.0,117.0,20,1.54,8.43,24,19,Électrique,168,Oui,0
14,PRESS-X5,2011,Elevée,12,Normale,41.41,16.1,70679,Intermittent,94.9,84.3,Sous-charge,Corrective,Hebdomadaire,15.0,2023-08-12,142.0,97.0,6,0.5,0.58,10,5,Thermique,182,Oui,0
15,LATHE-9,2005,Moyenne,18,Ancienne,65.09,11.8,77635,Continu,49.3,248.7,Normale,Corrective,Mensuelle,27.0,2023-08-30,124.0,69.0,17,0.94,3.1,21,13,Thermique,202,Oui,0
16,DRILL-Z6,2009,Moyenne,14,Normale,56.5,9.7,49518,Continu,97.0,71.7,Normale,,Trimestrielle,28.0,2023-08-18,136.0,103.0,10,0.71,10.08,15,8,Mécanique,257,Oui,0
17,CNC-2000,2014,Moyenne,9,Normale,24.63,12.4,40388,Intermittent,,76.7,Normale,Corrective,Annuelle,,2023-09-11,113.0,90.0,5,0.56,1.57,7,2,Hydraulique,249,Oui,0
18,PUMP-V7,2010,Elevée,13,,48.8,11.8,56089,Continu,77.6,56.0,Surcharge,Corrective,Trimestrielle,23.0,2023-12-26,7.0,103.0,14,1.08,4.57,16,12,Mécanique,178,Oui,0
19,COMP-T2,1997,Elevée,26,Ancienne,96.63,13.4,126776,Intermittent,92.9,76.7,Surcharge,Mixte,Trimestrielle,49.0,2023-10-05,89.0,,30,1.15,13.03,34,29,Thermique,49,Oui,1
20,DRILL-Z6,2000,Moyenne,23,Ancienne,73.07,16.9,141234,Intermittent,102.2,64.9,Sous-charge,Mixte,Trimestrielle,40.0,2023-10-14,79.0,132.0,15,0.65,4.01,18,13,Mécanique,172,Oui,0
21,MOTOR-K1,2015,Faible,8,Normale,27.09,13.2,38653,Continu,80.8,75.3,Normale,Mixte,Mensuelle,,2023-11-22,41.0,135.0,6,0.75,1.07,11,5,Électrique,228,Oui,0
22,WELDR-E4,2017,Elevée,6,Normale,15.68,18.1,39463,Intermittent,69.1,70.1,Sous-charge,Préventive,Trimestrielle,10.0,2023-12-07,26.0,28.0,5,0.83,3.71,6,3,Thermique,117,Oui,0
23,LATHE-9,2007,Elevée,16,Ancienne,58.15,13.4,78026,Continu,72.0,78.5,Normale,Préventive,Trimestrielle,22.0,2023-09-22,102.0,76.0,12,0.75,0.5,16,11,Thermique,156,Non,0
24,CNC-2000,1995,Elevée,28,Ancienne,,9.7,99240,Continu,97.5,89.3,Sous-charge,Corrective,Mensuelle,,2024-01-01,0.0,101.0,22,0.79,1.2,24,21,Thermique,194,Oui,1
25,LATHE-9,2015,Moyenne,8,Normale,27.35,18.9,54893,Continu,66.7,76.5,Normale,Mixte,Trimestrielle,8.0,2023-11-03,59.0,73.0,6,0.75,13.75,8,5,Thermique,240,Oui,0
26,LATHE-9,2008,Elevée,15,Normale,50.44,11.6,63544,Intermittent,84.9,87.0,Normale,Corrective,Hebdomadaire,20.0,2023-12-25,7.0,112.0,14,,1.57,19,9,Mécanique,222,Oui,0
27,LATHE-9,1996,Faible,27,Ancienne,98.1,8.8,87297,Continu,80.1,62.7,Normale,Préventive,Trimestrielle,39.0,2023-12-24,9.0,97.0,24,0.89,3.04,25,21,Hydraulique,157,Non,1
28,COMP-T2,1996,Elevée,27,Ancienne,95.65,19.0,186547,Intermittent,91.4,92.2,Surcharge,Mixte,Mensuelle,28.0,2023-10-31,62.0,10.0,21,0.78,7.79,22,20,Aucune,107,Oui,1
29,LATHE-9,2021,,2,Nouvelle,8.15,,7438,Continu,80.5,62.8,Normale,Corrective,Mensuelle,5.0,2023-09-12,112.0,62.0,2,1.0,4.74,4,0,Aucune,114,Oui,0
30,MOTOR-K1,2009,Elevée,14,Normale,-20.0,9.7,49186,Intermittent,73.5,60.0,Surcharge,Préventive,Trimestrielle,19.0,2023-10-26,68.0,110.0,8,0.57,3.39,10,8,Hydraulique,197,Non,0
31,PRESS-X5,2021,Moyenne,2,Nouvelle,9.86,10.3,7412,Intermittent,72.4,71.7,Normale,Corrective,Trimestrielle,4.0,2023-10-27,67.0,88.0,1,0.5,2.27,3,0,Mécanique,255,,0
32,PUMP-V7,2012,Moyenne,11,Normale,-5.0,12.5,50219,Continu,72.2,69.7,Surcharge,Préventive,Trimestrielle,22.0,2023-12-25,7.0,90.0,10,0.91,4.44,16,7,Électrique,155,Oui,0
33,DRILL-Z6,2003,Elevée,20,Ancienne,78.5,14.8,108106,Intermittent,59.3,56.0,Normale,Corrective,Mensuelle,27.0,2023-09-12,112.0,81.0,11,0.55,5.67,11,9,Mécanique,212,Oui,0
34,MOTOR-K1,2020,Faible,3,Nouvelle,-20.0,4.1,4498,Continu,87.6,61.5,Surcharge,Préventive,Annuelle,5.0,2023-12-13,19.0,35.0,0,0.0,2.85,6,0,Mécanique,151,Oui,0
35,DRILL-Z6,1997,Elevée,26,Ancienne,82.37,,140267,Continu,83.1,31.9,Normale,Corrective,Trimestrielle,40.0,2023-11-12,51.0,52.0,20,0.77,2.33,22,19,Mécanique,188,Non,0
36,PUMP-V7,1800,Moyenne,123,Ancienne,100.0,10.3,463965,Intermittent,58.0,58.8,Normale,Préventive,Mensuelle,180.0,2023-08-09,145.0,72.0,100,0.81,2.83,107,100,Thermique,186,Oui,1
37,PRESS-X5,2009,Moyenne,14,Normale,38.6,10.8,55303,Intermittent,73.9,67.1,Sous-charge,,Mensuelle,,2023-02-03,332.0,86.0,7,0.5,1.9,8,5,Mécanique,144,Non,0
38,ROBOT-M3,1999,Elevée,24,Ancienne,87.37,17.1,150350,Continu,75.9,92.9,Normale,Préventive,Hebdomadaire,45.0,2023-10-03,90.0,53.0,20,0.83,1.83,22,20,Aucune,129,Oui,1
39,DRILL-Z6,2014,Faible,9,Normale,34.26,12.6,41757,Continu,71.2,83.6,Normale,,Mensuelle,12.0,2023-10-24,70.0,127.0,8,0.89,2.07,10,6,Thermique,197,Oui,0
40,DRILL-Z6,2100,Faible,0,Nouvelle,6.04,13.3,0,Continu,78.2,78.9,Normale,Corrective,Trimestrielle,1.0,2023-09-29,94.0,82.0,0,0.0,0.5,5,0,Mécanique,202,Non,0
41,PRESS-X5,1999,Elevée,24,Ancienne,78.72,11.9,103378,Intermittent,78.4,100.0,Sous-charge,Préventive,Mensuelle,44.0,2023-10-12,81.0,,21,0.88,6.3,25,19,Mécanique,308,Oui,1
42,CNC-2000,2004,Moyenne,19,Ancienne,70.23,14.3,99312,Intermittent,93.4,53.5,Normale,Préventive,Mensuelle,33.0,2023-08-01,153.0,92.0,13,0.68,2.08,15,12,Aucune,193,Non,0
43,MOTOR-K1,2010,Elevée,13,Normale,45.78,16.9,80044,Continu,79.9,74.2,Surcharge,Préventive,Hebdomadaire,23.0,2023-05-02,244.0,83.0,8,0.62,2.02,14,8,Électrique,252,Non,0
44,CNC-2000,2019,Moyenne,4,Normale,14.83,4.6,6716,Continu,88.9,99.4,Normale,Préventive,Trimestrielle,7.0,2023-12-08,24.0,88.0,4,1.0,9.77,8,2,Mécanique,237,Oui,0
45,CNC-2000,2006,Elevée,17,Ancienne,62.63,15.3,94537,Intermittent,59.1,68.9,Sous-charge,Corrective,Mensuelle,27.0,2023-12-08,24.0,50.0,16,0.94,13.27,18,15,Aucune,162,Oui,0
46,CNC-2000,2019,Faible,4,Normale,10.22,16.6,24226,Continu,64.1,65.1,Sous-charge,Mixte,Mensuelle,4.0,2023-04-23,,77.0,5,1.25,2.43,7,5,Hydraulique,204,Oui,0
47,LATHE-9,2008,Elevée,15,Normale,65.44,13.5,73810,Continu,59.4,84.8,Surcharge,Préventive,Annuelle,21.0,2023-11-04,58.0,70.0,15,1.0,7.89,16,13,Thermique,128,Oui,0
48,WELDR-E4,2016,Elevée,7,Normale,31.16,10.0,25477,Continu,74.1,68.3,Normale,Préventive,Mensuelle,9.0,2023-08-27,127.0,145.0,9,1.29,2.6,14,4,Électrique,177,Non,0
49,DRILL-Z6,2005,Elevée,18,Ancienne,60.34,8.5,55902,Intermittent,80.8,90.1,Normale,Mixte,Trimestrielle,29.0,2023-11-13,50.0,104.0,14,0.78,7.1,16,12,Électrique,109,Non,0
50,CNC-2000,2022,Elevée,1,Nouvelle,0.0,19.1,7119,Continu,105.0,85.0,Normale,Corrective,Hebdomadaire,0.0,2023-08-15,,107.0,1,1.0,2.05,2,0,Mécanique,111,Oui,0
51,MOTOR-K1,2013,Moyenne,10,Normale,34.56,9.3,34298,Intermittent,67.6,72.7,Surcharge,Corrective,Trimestrielle,23.0,2023-12-22,10.0,,6,0.6,1.01,8,4,Mécanique,110,Non,0
52,WELDR-E4,2000,Elevée,23,Ancienne,81.41,16.6,138842,Intermittent,,86.8,Surcharge,Préventive,Mensuelle,29.0,2023-12-31,1.0,111.0,15,0.65,7.47,16,12,Hydraulique,151,Non,0
53,WELDR-E4,2004,Moyenne,19,Ancienne,71.83,13.2,91026,Continu,67.5,72.2,Normale,Mixte,Annuelle,30.0,2023-11-10,53.0,,14,0.74,1.65,19,13,Mécanique,182,Oui,0
54,CNC-2000,2014,Elevée,9,Normale,25.66,18.1,59561,Intermittent,,76.6,Normale,Corrective,Trimestrielle,,2023-12-25,7.0,88.0,6,0.67,11.69,9,5,Thermique,102,Non,0
55,COMP-T2,1997,Moyenne,26,Ancienne,92.43,11.0,104882,Intermittent,,82.0,Sous-charge,Mixte,Annuelle,,2022-08-13,507.0,73.0,19,0.73,0.83,22,17,Hydraulique,126,Oui,1
56,CNC-2000,2016,Moyenne,7,Normale,16.85,7.2,18429,Continu,66.1,70.3,Normale,Corrective,Trimestrielle,8.0,2023-11-06,57.0,,6,0.86,3.22,9,4,Électrique,270,Oui,0
57,COMP-T2,2009,Faible,14,Normale,51.18,12.0,61674,Intermittent,67.3,93.1,Normale,Mixte,Hebdomadaire,20.0,2023-12-12,20.0,149.0,11,0.79,0.87,15,9,Mécanique,148,Non,0
58,CNC-2000,2005,Faible,18,Ancienne,62.46,7.5,49705,Continu,104.0,75.8,Normale,Préventive,Annuelle,19.0,2023-06-09,207.0,134.0,9,0.5,1.42,14,8,Thermique,133,Oui,0
59,MOTOR-K1,2016,Faible,7,Normale,34.18,20.0,50817,Continu,72.0,78.5,Surcharge,Corrective,Hebdomadaire,14.0,2023-07-27,158.0,54.0,7,1.0,1.22,9,7,Mécanique,122,Non,0
60,COMP-T2,1996,Moyenne,27,Ancienne,86.77,13.9,136624,Intermittent,95.0,59.2,Normale,Préventive,Hebdomadaire,32.0,2023-08-01,153.0,17.0,18,0.67,1.11,20,18,Électrique,189,Oui,1
61,LATHE-9,2019,Elevée,4,Normale,20.85,14.3,21009,Continu,90.2,,Sous-charge,Mixte,Mensuelle,4.0,2023-12-13,20.0,42.0,3,0.75,18.73,6,1,Aucune,94,Oui,0
62,WELDR-E4,2018,Moyenne,5,,8.98,14.3,26073,Intermittent,70.8,,Normale,Mixte,Mensuelle,9.0,2023-03-31,276.0,48.0,4,0.8,0.5,7,4,Mécanique,222,Non,0
63,CNC-2000,2000,Faible,23,Ancienne,73.86,9.9,83575,Continu,79.9,85.4,Normale,Préventive,Mensuelle,33.0,2023-12-06,26.0,81.0,12,0.52,14.78,16,10,Mécanique,205,Oui,0
64,WELDR-E4,2011,Elevée,12,Normale,33.61,11.6,50638,Intermittent,81.8,92.0,Normale,Corrective,Mensuelle,12.0,2023-11-19,43.0,101.0,10,,0.5,12,8,,181,Oui,0
65,CNC-2000,2022,Moyenne,1,Nouvelle,4.75,12.3,4693,Continu,87.3,62.3,Normale,Préventive,Annuelle,0.0,2023-11-10,53.0,167.0,0,0.0,9.41,5,0,Aucune,268,Oui,0
66,DRILL-Z6,2012,Elevée,11,Normale,32.63,,71464,Continu,,65.1,Normale,Corrective,Trimestrielle,23.0,2023-08-15,139.0,,6,0.55,10.54,7,4,Électrique,192,Oui,0
67,DRILL-Z6,1998,Moyenne,25,Ancienne,80.76,8.5,77877,Intermittent,57.4,60.2,Sous-charge,Préventive,Hebdomadaire,37.0,2023-12-09,23.0,102.0,12,0.48,0.5,15,8,Électrique,265,Oui,0
68,CONV-3A,2017,Moyenne,6,Normale,22.01,9.8,21328,Continu,69.5,80.9,Surcharge,Mixte,Annuelle,12.0,2023-06-16,199.0,46.0,7,1.17,,8,5,Mécanique,128,Oui,0
69,CNC-2000,2003,Moyenne,20,Ancienne,72.26,10.9,79764,Intermittent,97.5,92.0,Normale,Préventive,Hebdomadaire,35.0,2023-12-24,9.0,101.0,15,0.75,0.82,18,15,Mécanique,151,Non,0
70,CONV-3A,2004,Moyenne,19,Ancienne,66.7,10.0,69419,Intermittent,79.5,,Normale,Corrective,Mensuelle,29.0,2022-11-23,404.0,82.0,8,0.42,5.07,13,4,Thermique,275,Oui,1
71,PRESS-X5,2015,Faible,8,Normale,27.19,7.6,22310,Continu,73.7,75.7,Normale,Préventive,Mensuelle,10.0,2023-03-18,,81.0,9,1.12,1.42,12,7,Aucune,267,Oui,0
72,PRESS-X5,2020,Moyenne,3,Nouvelle,19.64,3.9,4637,Intermittent,57.9,76.6,Normale,Mixte,Trimestrielle,5.0,2023-11-19,44.0,47.0,0,0.0,0.5,2,0,Thermique,144,,0
73,WELDR-E4,1996,Faible,27,Ancienne,,6.5,64105,Continu,98.6,,Normale,Préventive,Trimestrielle,36.0,2023-07-02,184.0,90.0,16,0.59,5.52,20,15,Mécanique,51,Oui,1
74,COMP-T2,2005,Elevée,18,Ancienne,67.03,15.3,100521,Intermittent,76.9,60.3,Normale,Mixte,Trimestrielle,22.0,2023-07-20,165.0,162.0,17,0.94,1.67,19,10,Aucune,173,Non,0
75,CNC-2000,2005,Elevée,18,Ancienne,63.71,12.0,78847,Intermittent,96.3,87.7,Surcharge,Corrective,Trimestrielle,31.0,2023-10-01,92.0,,15,0.83,2.82,17,14,Hydraulique,181,Oui,0
76,PUMP-V7,2005,Moyenne,18,Ancienne,57.51,14.5,95119,Continu,90.2,76.9,Surcharge,Mixte,Trimestrielle,28.0,2023-09-02,121.0,73.0,16,0.89,0.6,21,15,Hydraulique,115,Oui,0
77,CNC-2000,1995,Elevée,28,Ancienne,100.0,10.3,104793,Continu,91.9,68.4,Sous-charge,Préventive,Mensuelle,-10.0,2023-06-10,205.0,133.0,25,0.89,0.5,30,24,Aucune,239,Oui,1
78,CNC-2000,2020,Elevée,3,Nouvelle,7.22,,12950,Intermittent,104.9,100.0,Normale,Préventive,Annuelle,,2023-09-30,94.0,105.0,2,0.67,7.43,4,2,Thermique,191,Oui,0
79,PUMP-V7,2008,Moyenne,15,Normale,52.05,16.8,92382,Intermittent,81.8,75.0,Surcharge,Préventive,Trimestrielle,18.0,2023-09-25,,107.0,12,0.8,0.5,14,10,Électrique,89,Oui,0
80,PRESS-X5,1995,Moyenne,28,Ancienne,99.53,16.7,170475,Continu,78.0,54.5,Sous-charge,Préventive,Trimestrielle,32.0,2023-12-12,20.0,7.0,21,0.75,2.13,23,18,Mécanique,113,Non,1
81,CONV-3A,2015,Moyenne,8,Normale,18.29,48.0,139986,Continu,103.5,82.9,Normale,,Trimestrielle,12.0,2023-11-05,58.0,82.0,2,0.25,9.04,8,1,Thermique,207,Non,0
82,WELDR-E4,2017,Elevée,6,Normale,12.95,12.6,27668,Continu,92.5,52.9,Normale,Mixte,Annuelle,6.0,2023-12-30,,79.0,6,1.0,5.02,13,3,Électrique,187,Oui,0
83,PRESS-X5,2019,Elevée,4,Normale,18.55,13.6,19526,Intermittent,69.4,80.6,Sous-charge,Préventive,Trimestrielle,3.0,2023-12-20,13.0,128.0,4,1.0,8.9,7,2,Mécanique,247,Oui,0
84,PUMP-V7,2003,Moyenne,20,Ancienne,66.68,13.1,95572,Continu,95.7,80.3,Normale,Préventive,Hebdomadaire,35.0,2023-09-02,122.0,71.0,21,,4.7,23,19,Thermique,173,Oui,0
85,CNC-2000,2018,Elevée,5,Normale,14.42,11.5,20951,Intermittent,102.7,91.6,Normale,Corrective,Annuelle,6.0,2023-10-10,84.0,131.0,4,0.8,10.05,10,2,Électrique,136,Non,0
86,PRESS-X5,1995,Elevée,28,Ancienne,98.83,10.8,110471,Continu,45.5,63.0,Normale,Préventive,Hebdomadaire,41.0,2023-11-06,56.0,75.0,24,0.86,3.21,29,21,,131,Oui,1
87,MOTOR-K1,2015,Elevée,8,Normale,26.07,15.4,44978,Intermittent,,71.5,Normale,Corrective,Trimestrielle,18.0,2023-12-20,13.0,112.0,7,0.88,2.6,8,7,Électrique,142,Oui,0
88,DRILL-Z6,2016,Elevée,7,,26.59,8.1,20737,Continu,67.8,74.2,Sous-charge,Préventive,Mensuelle,8.0,2023-08-05,149.0,78.0,2,0.29,2.12,7,1,Électrique,81,Oui,0
89,CNC-2000,2016,Elevée,7,Normale,24.24,30.0,76740,Intermittent,90.8,85.4,Normale,Mixte,Hebdomadaire,8.0,2023-12-01,31.0,125.0,6,0.86,1.93,15,4,Thermique,196,Oui,0
90,ROBOT-M3,1998,Elevée,25,Ancienne,88.49,11.2,102064,Continu,91.8,80.2,Normale,Corrective,Hebdomadaire,45.0,2023-08-11,144.0,72.0,21,0.84,7.32,26,20,Mécanique,157,Oui,1
91,PUMP-V7,1995,Elevée,28,Ancienne,94.49,8.1,82425,Continu,87.8,81.2,Normale,Mixte,Annuelle,46.0,2023-07-03,182.0,85.0,20,0.71,1.62,23,20,Mécanique,221,Non,1
92,LATHE-9,2013,Moyenne,10,Normale,35.97,10.4,37712,Continu,93.1,89.6,Normale,,Mensuelle,,2023-11-15,,80.0,11,1.1,14.39,11,10,Thermique,151,Oui,0
93,COMP-T2,2004,Elevée,19,Ancienne,72.03,100.0,693309,Continu,,72.3,Surcharge,Mixte,Mensuelle,28.0,2023-11-07,55.0,,11,0.58,0.74,13,9,Hydraulique,138,Non,0
94,LATHE-9,2009,Elevée,14,Normale,46.16,10.3,52450,Intermittent,61.9,92.6,Normale,Préventive,Trimestrielle,20.0,2023-11-22,41.0,132.0,9,0.64,1.48,12,7,Électrique,136,Oui,0
95,PRESS-X5,2014,,9,Normale,36.08,10.2,33408,Intermittent,98.8,73.9,Sous-charge,Mixte,Trimestrielle,19.0,2023-10-11,83.0,103.0,7,0.78,0.86,12,7,Mécanique,106,Oui,0
96,CNC-2000,1998,Moyenne,25,Ancienne,87.24,10.1,92277,Intermittent,81.6,85.7,Surcharge,Corrective,Trimestrielle,35.0,2023-11-12,51.0,94.0,23,0.92,,25,23,Électrique,263,Oui,1
97,COMP-T2,2014,Elevée,9,Normale,150.0,11.1,36691,Intermittent,98.1,69.1,Normale,Préventive,Trimestrielle,9.0,2023-10-29,65.0,79.0,10,1.11,0.5,13,8,Thermique,75,Oui,0
98,COMP-T2,2008,Faible,15,,53.14,11.8,64749,Continu,69.5,82.1,Normale,Mixte,Trimestrielle,21.0,2023-06-24,191.0,59.0,12,0.8,12.78,15,11,Thermique,195,Oui,0
99,WELDR-E4,1999,Elevée,24,Ancienne,83.83,14.3,124832,Intermittent,64.2,88.9,Sous-charge,Corrective,Trimestrielle,51.0,2023-12-20,12.0,97.0,19,0.79,2.79,24,19,Hydraulique,72,Oui,0
100,LATHE-9,2009,Elevée,14,Normale,50.75,11.3,57438,Continu,60.9,62.0,Sous-charge,Mixte,Trimestrielle,28.0,2024-01-01,0.0,85.0,12,0.86,2.81,16,8,Électrique,193,Oui,0
101,CNC-2000,2009,Faible,14,Normale,55.07,13.0,66322,Intermittent,92.0,86.3,Normale,Corrective,Mensuelle,22.0,2022-01-01,730.0,101.0,12,,6.22,15,8,Aucune,207,Oui,1
102,WELDR-E4,2021,Faible,2,,8.18,12.0,8490,Continu,97.0,77.1,Normale,Préventive,Mensuelle,5000.0,2023-06-23,192.0,88.0,2,1.0,1.03,3,0,Aucune,159,Non,0
103,CONV-3A,2019,Moyenne,4,Normale,16.39,13.6,19894,Continu,88.1,99.5,Normale,Mixte,Mensuelle,8.0,2023-12-17,,76.0,4,,3.43,5,2,Électrique,174,Non,0
104,LATHE-9,2010,Moyenne,13,Normale,43.66,12.1,57698,Continu,72.7,71.8,Surcharge,Préventive,Trimestrielle,18.0,2023-10-17,77.0,83.0,10,0.77,,12,7,Thermique,201,Oui,0
105,DRILL-Z6,2010,Moyenne,13,Normale,53.35,10.1,48014,Intermittent,89.6,78.5,Normale,Préventive,Mensuelle,32.0,2023-11-28,34.0,141.0,6,0.46,3.02,6,3,Thermique,146,Non,0
106,DRILL-Z6,1998,Elevée,25,Ancienne,90.7,9.2,84728,Intermittent,89.1,,Surcharge,Préventive,Hebdomadaire,31.0,2023-12-18,15.0,66.0,21,0.84,2.27,22,20,Thermique,165,Oui,1
107,WELDR-E4,2019,Elevée,4,Normale,-5.0,12.6,18203,Continu,49.6,83.0,Normale,Corrective,Annuelle,7.0,2023-09-23,101.0,141.0,3,0.75,2.19,8,0,Thermique,159,Oui,0
108,CONV-3A,9999,Moyenne,0,Nouvelle,0.0,,0,Intermittent,74.7,48.8,Normale,Corrective,Mensuelle,2.0,2022-12-16,382.0,117.0,1,2.0,0.5,3,1,Mécanique,174,Oui,0
109,MOTOR-K1,1995,Faible,28,Ancienne,100.0,11.3,115594,Intermittent,84.2,,Normale,,Annuelle,37.0,2023-11-20,43.0,,26,0.93,8.19,30,21,Hydraulique,182,,1
110,MOTOR-K1,1999,Elevée,24,Ancienne,80.97,9.9,86559,Continu,96.6,83.0,Normale,Corrective,Trimestrielle,34.0,2022-09-25,463.0,84.0,16,0.67,3.69,21,12,Mécanique,233,Oui,1
111,DRILL-Z6,2003,Moyenne,20,Ancienne,61.09,11.2,82010,Intermittent,78.7,75.3,Normale,Préventive,Mensuelle,27.0,2023-11-23,40.0,85.0,18,0.9,3.98,18,18,Aucune,226,Non,0
112,ROBOT-M3,2014,Elevée,9,Normale,31.86,10.3,33871,Continu,82.2,51.0,Normale,Corrective,Hebdomadaire,9.0,2023-09-08,116.0,21.0,3,0.33,10.98,5,0,Thermique,237,Oui,0
113,PUMP-V7,1999,Moyenne,24,Ancienne,89.95,10.0,87715,Intermittent,79.0,67.4,Normale,Préventive,Trimestrielle,39.0,2023-11-09,53.0,73.0,21,0.88,,24,18,Hydraulique,254,Non,0
114,PUMP-V7,1998,Moyenne,25,Ancienne,95.46,7.7,70253,Continu,84.0,70.3,Normale,Corrective,Annuelle,35.0,2023-12-10,22.0,121.0,25,1.0,16.33,26,21,Hydraulique,148,Non,1
115,ROBOT-M3,2010,Moyenne,13,Normale,44.96,11.3,53487,Continu,59.5,69.2,Surcharge,Mixte,Mensuelle,24.0,2023-12-30,3.0,73.0,10,0.77,0.94,12,8,Aucune,186,Non,0
116,WELDR-E4,1996,Elevée,27,Ancienne,94.72,12.7,125133,Intermittent,70.9,86.2,Normale,Mixte,Trimestrielle,34.0,2023-12-06,27.0,90.0,17,0.63,3.01,23,17,Électrique,101,Oui,1
117,PUMP-V7,2020,Elevée,3,Nouvelle,13.1,8.8,9381,Continu,46.5,90.1,Surcharge,Mixte,Trimestrielle,3.0,2023-07-29,157.0,86.0,4,1.33,2.22,9,2,,211,Oui,0
118,PUMP-V7,2010,Moyenne,13,Normale,44.18,9.4,44845,Continu,73.4,48.1,Sous-charge,Mixte,Annuelle,23.0,2023-12-03,30.0,85.0,13,1.0,0.5,17,13,Hydraulique,224,Oui,0
119,LATHE-9,2012,Elevée,11,Normale,41.08,9.2,36942,Intermittent,87.4,73.6,Sous-charge,Corrective,Trimestrielle,19.0,2023-07-02,183.0,53.0,7,0.64,5.02,10,4,Mécanique,247,Oui,0
120,LATHE-9,1996,Elevée,27,Ancienne,-5.0,7.8,77343,Intermittent,68.1,76.4,Normale,Mixte,Mensuelle,48.0,2023-08-03,151.0,99.0,21,0.78,5.1,27,17,Thermique,128,Oui,0
121,ROBOT-M3,2010,Moyenne,13,Normale,50.56,9.1,43304,Intermittent,76.2,57.2,Normale,Préventive,Trimestrielle,15.0,2023-08-21,134.0,79.0,14,1.08,0.71,18,14,Thermique,96,Oui,0
